age,gender,marital_status,education_level,annual_income,employment_status,debt_to_income_ratio,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,credit_utilization,loan_to_income
21,Male,Married,Other,69899.85,Employed,0.168,747,500.0,Debt consolidation,9.95,60,3,49772.03,2934.4,2,0.058956807668885516,0.007153091172584776
62,Female,Divorced,Bachelor's,31781.36,Employed,0.052,801,20122.13,Business,6.89,60,7,51025.95,3353.32,1,0.06571793371803955,0.6331425086906287
52,Male,Single,High School,31210.46,Employed,0.234,773,20605.21,Business,11.58,36,5,30207.28,18639.41,1,0.6170502607318501,0.6602020604630627
24,Male,Single,High School,60085.35,Employed,0.264,741,20616.65,Other,8.54,36,5,86494.74,4443.59,1,0.051374106679781914,0.3431227412339281
26,Male,Married,Bachelor's,60270.4,Employed,0.116,724,26269.51,Vacation,9.63,60,8,68765.44,6826.62,3,0.09927399577462166,0.43586088693620745
38,Female,Single,Master's,30659.47,Employed,0.108,718,7377.16,Home,11.17,36,2,44149.14,9105.35,1,0.20624071046457532,0.2406160315230498
34,Male,Single,Other,16747.21,Employed,0.228,732,14532.53,Debt consolidation,13.61,60,4,25071.04,23218.86,1,0.9261227296514225,0.86775827137774
59,Female,Single,Other,41905.45,Employed,0.066,625,9984.6,Debt consolidation,15.17,36,4,65296.05,54872.77,1,0.8403689043977391,0.23826495121756242
60,Female,Married,High School,22827.65,Student,0.106,693,15462.46,Debt consolidation,11.84,36,3,31016.07,10514.62,0,0.33900555421753953,0.6773566267224177
21,Male,Married,High School,41937.57,Employed,0.043,706,18369.44,Debt consolidation,12.56,36,4,53525.03,4342.57,1,0.08113157526488074,0.43801870256192715
57,Male,Single,Bachelor's,51577.33,Employed,0.166,796,25580.73,Home,8.94,36,8,57521.64,35000.49,2,0.6084751756034772,0.4959684807259313
34,Male,Single,Other,48522.0,Employed,0.155,697,15420.53,Debt consolidation,13.9,60,3,50490.73,31143.0,3,0.6168062929571427,0.3178049132352335
29,Male,Single,Bachelor's,26298.86,Employed,0.036,747,17109.79,Debt consolidation,13.78,36,5,43024.02,31684.37,3,0.736434438251005,0.6505905579177197
54,Female,Married,High School,16613.21,Student,0.153,702,22273.64,Education,11.83,36,2,22281.53,19301.38,3,0.8662502081320269,1.3407186209046897
44,Male,Single,Bachelor's,46118.63,Employed,0.337,694,16507.88,Car,11.13,36,5,63055.88,7253.03,4,0.11502543458278594,0.35794385045696286
32,Female,Married,Other,25219.62,Unemployed,0.151,779,8826.73,Debt consolidation,10.26,36,13,35069.44,18445.04,1,0.5259576428936419,0.34999456772148035
35,Male,Married,High School,43665.85,Unemployed,0.099,644,23885.89,Business,12.62,36,9,60933.03,13029.29,0,0.21382967497267083,0.5470153449434741
43,Female,Single,Bachelor's,16357.72,Employed,0.071,580,16049.06,Debt consolidation,14.11,36,4,24529.8,20101.76,5,0.8194832407928315,0.9811306221160406
71,Female,Married,Bachelor's,72918.56,Unemployed,0.09,696,22823.57,Debt consolidation,12.95,60,7,55073.33,29627.65,5,0.5379672883408357,0.31300083270980666
71,Other,Single,Bachelor's,52011.94,Employed,0.314,764,16418.14,Car,12.13,36,10,51596.29,3476.4,0,0.06737693737282274,0.31566098092091927
62,Male,Married,Other,15525.46,Employed,0.055,822,14651.46,Debt consolidation,8.47,60,5,14842.3,8334.72,1,0.5615517810581918,0.9437053716926905
75,Female,Married,High School,59013.36,Employed,0.081,643,5873.32,Car,17.02,60,6,39827.73,19315.39,1,0.4849734092302021,0.09952526004281063
52,Female,Single,High School,32478.32,Employed,0.195,654,23854.87,Car,12.09,60,6,27057.89,15626.28,0,0.5775128807161238,0.7344859586333283
21,Male,Married,High School,13492.18,Employed,0.161,628,4700.78,Business,14.01,36,7,22885.45,16767.18,7,0.7326567753747468,0.3484077443378312
42,Female,Single,Bachelor's,13807.09,Employed,0.166,520,6960.98,Debt consolidation,18.04,36,4,15052.19,12868.12,3,0.854900183959942,0.5041598193391945
52,Female,Single,High School,39034.64,Employed,0.156,680,20538.76,Debt consolidation,11.41,36,5,31786.41,3709.23,6,0.116692322284901,0.5261675270990074
23,Male,Married,Bachelor's,15050.12,Employed,0.186,791,14616.71,Debt consolidation,8.71,36,4,20464.64,9067.41,0,0.44307693660870656,0.9712022229723084
60,Male,Single,Bachelor's,31964.35,Employed,0.297,698,14534.05,Home,13.52,36,4,24356.98,7685.63,2,0.31554117136032467,0.4546956218412075
68,Male,Single,High School,41099.47,Employed,0.043,655,11670.88,Debt consolidation,14.33,36,4,64014.07,13441.01,1,0.2099696207411902,0.2839666788890465
50,Other,Single,Bachelor's,57024.88,Employed,0.312,636,9136.13,Debt consolidation,12.77,36,5,52490.35,26673.54,7,0.5081608333722294,0.1602130508648155
46,Female,Married,Master's,33752.8,Employed,0.233,642,14223.44,Debt consolidation,15.83,36,5,30736.79,2872.24,1,0.09344632279428007,0.42140029864189044
57,Male,Married,Bachelor's,60582.85,Employed,0.242,714,10013.89,Debt consolidation,11.34,60,6,75009.78,21150.49,5,0.28196976447604566,0.16529248789054987
46,Male,Single,PhD,18539.98,Employed,0.11,595,13082.17,Debt consolidation,12.28,36,7,22144.13,9106.28,1,0.4112277158777518,0.7056194235376737
24,Female,Single,High School,30801.85,Employed,0.244,663,20343.06,Debt consolidation,15.65,36,6,37357.97,34828.19,2,0.9322827230708736,0.6604492911951718
41,Female,Single,Master's,54680.5,Self-employed,0.277,677,12828.5,Debt consolidation,10.36,36,5,74531.75,62932.43,0,0.8443707547454609,0.23460831557867978
23,Female,Single,Bachelor's,26059.6,Employed,0.025,722,19234.31,Car,10.62,36,4,21560.8,3039.18,3,0.14095859151793996,0.7380892262352454
46,Male,Single,Master's,24885.84,Employed,0.075,650,6580.05,Business,9.95,36,8,36163.89,26686.26,2,0.7379255937345236,0.26440939907995875
68,Female,Divorced,Master's,36644.51,Unemployed,0.03,745,8538.94,Debt consolidation,14.06,60,5,51861.62,14795.95,2,0.2852967184596239,0.23302099004734952
59,Male,Married,Bachelor's,30968.05,Employed,0.122,616,10992.94,Business,15.73,36,4,39427.77,3129.66,0,0.07937704820739291,0.35497682288681404
53,Male,Married,High School,27075.74,Student,0.263,805,23012.63,Education,12.1,36,1,38675.72,5243.9,1,0.13558635753904516,0.8499354034275702
21,Female,Single,Bachelor's,45196.11,Student,0.236,766,20205.27,Education,10.38,60,9,54611.89,45862.24,3,0.8397848893345387,0.4470577224455822
36,Female,Married,Bachelor's,87624.78,Employed,0.047,729,8669.7,Debt consolidation,11.82,36,5,97993.88,79350.86,0,0.8097532213236173,0.09894118992367229
61,Male,Single,High School,37653.31,Self-employed,0.037,653,21811.62,Vacation,11.1,60,7,34528.76,18007.98,2,0.521535670554054,0.5792749694515569
32,Male,Divorced,Master's,87837.48,Employed,0.165,671,10953.63,Home,18.92,36,4,120916.48,26096.17,1,0.2158197956142951,0.1247033726377396
27,Female,Single,Other,34822.19,Self-employed,0.346,682,21084.87,Other,14.53,36,9,54063.15,28448.29,2,0.5262048178842705,0.6055009750966265
